 ,Speed (mph),# Lane Points,% Observed
1/1/2024 5:45,72.50,5,100.00
1/1/2024 5:50,72.30,5,100.00
1/1/2024 5:55,72.70,5,100.00
1/1/2024 6:00,71.90,5,100.00
1/1/2024 6:05,72.30,5,100.00
1/1/2024 6:10,71.60,5,100.00
1/1/2024 6:15,71.80,5,100.00
1/1/2024 6:20,71.70,5,100.00
1/1/2024 6:25,71.90,5,100.00
1/1/2024 6:30,72.00,5,100.00
1/1/2024 6:35,72.20,5,100.00
1/1/2024 6:40,72.10,5,100.00
1/1/2024 6:45,72.40,5,100.00
1/1/2024 6:50,72.20,5,100.00
1/1/2024 6:55,72.60,5,100.00
1/1/2024 7:00,72.40,5,100.00
1/1/2024 7:05,72.60,5,100.00
1/1/2024 7:10,71.90,5,100.00
1/1/2024 7:15,72.70,5,100.00
1/1/2024 7:20,71.70,5,100.00
1/1/2024 7:25,72.20,5,100.00
1/1/2024 7:30,72.00,5,100.00
1/1/2024 7:35,72.60,5,100.00
1/1/2024 7:40,72.90,5,100.00
1/1/2024 7:45,72.60,5,100.00
1/1/2024 7:50,72.80,5,100.00
1/1/2024 7:55,72.50,5,100.00
1/1/2024 8:00,72.40,5,100.00
1/1/2024 8:05,72.70,5,100.00
1/1/2024 8:10,71.90,5,100.00
1/1/2024 8:15,71.80,5,100.00
1/1/2024 8:20,71.80,5,100.00
1/1/2024 8:25,71.90,5,100.00
1/1/2024 8:30,71.80,5,100.00
1/1/2024 8:35,71.90,5,100.00
1/1/2024 8:40,71.70,5,100.00
1/1/2024 8:45,71.50,5,100.00
1/1/2024 8:50,71.60,5,100.00
1/1/2024 8:55,72.00,5,100.00
1/1/2024 9:00,72.30,5,100.00
1/1/2024 9:05,72.60,5,100.00
1/1/2024 9:10,71.70,5,100.00
1/1/2024 9:15,71.50,5,100.00
1/1/2024 9:20,71.60,5,100.00
1/1/2024 9:25,71.20,5,100.00
1/1/2024 9:30,71.20,5,100.00
1/1/2024 9:35,71.50,5,100.00
1/1/2024 9:40,71.70,5,100.00
1/1/2024 9:45,71.50,5,100.00
1/1/2024 9:50,71.50,5,100.00
1/1/2024 9:55,71.20,5,100.00
1/1/2024 10:00,71.10,5,100.00
1/1/2024 10:05,71.00,5,100.00
1/1/2024 10:10,70.80,5,100.00
1/1/2024 10:15,70.70,5,100.00
1/1/2024 10:20,71.20,5,100.00
1/1/2024 10:25,71.40,5,100.00
1/1/2024 10:30,70.50,5,100.00
1/1/2024 10:35,70.60,5,100.00
1/1/2024 10:40,70.20,5,100.00
1/1/2024 10:45,69.80,5,100.00
1/1/2024 10:50,69.50,5,100.00
1/1/2024 10:55,69.40,5,100.00
1/1/2024 11:00,69.30,5,100.00
1/1/2024 11:05,69.40,5,100.00
1/1/2024 11:10,69.00,5,100.00
1/1/2024 11:15,67.90,5,100.00
1/1/2024 11:20,68.00,5,100.00
1/1/2024 11:25,67.70,5,100.00
1/1/2024 11:30,67.60,5,100.00
1/1/2024 11:35,68.30,5,100.00
1/1/2024 11:40,67.80,5,100.00
1/1/2024 11:45,67.40,5,100.00
1/1/2024 11:50,67.40,5,100.00
1/1/2024 11:55,67.60,5,100.00
1/1/2024 12:00,68.00,5,100.00
1/1/2024 12:05,67.50,5,100.00
1/1/2024 12:10,67.70,5,100.00
1/1/2024 12:15,67.60,5,100.00
1/1/2024 12:20,68.20,5,100.00
1/1/2024 12:25,67.80,5,100.00
1/1/2024 12:30,67.30,5,100.00
1/1/2024 12:35,67.30,5,100.00
1/1/2024 12:40,67.40,5,100.00
1/1/2024 12:45,67.50,5,100.00
1/1/2024 12:50,67.00,5,100.00
1/1/2024 12:55,67.00,5,100.00
1/1/2024 13:00,67.10,5,100.00
1/1/2024 13:05,67.00,5,100.00
1/1/2024 13:10,67.10,5,100.00
1/1/2024 13:15,67.50,5,100.00
1/1/2024 13:20,66.80,5,100.00
1/1/2024 13:25,67.70,5,100.00
1/1/2024 13:30,67.20,5,100.00
1/1/2024 13:35,67.40,5,100.00
1/1/2024 13:40,67.40,5,100.00
1/1/2024 13:45,67.40,5,100.00
1/1/2024 13:50,67.00,5,100.00
1/1/2024 13:55,68.00,5,100.00
1/1/2024 14:00,67.40,5,100.00
1/1/2024 14:05,67.60,5,100.00
1/1/2024 14:10,67.60,5,100.00
1/1/2024 14:15,67.70,5,100.00
1/1/2024 14:20,67.80,5,100.00
1/1/2024 14:25,67.70,5,100.00
1/1/2024 14:30,68.40,5,100.00
1/1/2024 14:35,68.30,5,100.00
1/1/2024 14:40,67.90,5,100.00
1/1/2024 14:45,68.10,5,100.00
1/1/2024 14:50,68.60,5,100.00
1/1/2024 14:55,68.80,5,100.00
1/1/2024 15:00,69.00,5,100.00
1/1/2024 15:05,69.20,5,100.00
1/1/2024 15:10,68.20,5,100.00
1/1/2024 15:15,68.40,5,100.00
1/1/2024 15:20,68.00,5,100.00
1/1/2024 15:25,67.70,5,100.00
1/1/2024 15:30,68.20,5,100.00
1/1/2024 15:35,67.60,5,100.00
1/1/2024 15:40,67.80,5,100.00
1/1/2024 15:45,68.20,5,100.00
1/1/2024 15:50,68.40,5,100.00
1/1/2024 15:55,67.70,5,100.00
1/1/2024 16:00,68.50,5,100.00
1/1/2024 16:05,68.20,5,100.00
1/1/2024 16:10,68.40,5,100.00
1/1/2024 16:15,69.30,5,100.00
1/1/2024 16:20,69.40,5,100.00
1/1/2024 16:25,69.20,5,100.00
1/1/2024 16:30,69.00,5,100.00
1/1/2024 16:35,69.80,5,100.00
1/1/2024 16:40,69.30,5,100.00
1/1/2024 16:45,69.10,5,100.00
1/1/2024 16:50,69.00,5,100.00
1/1/2024 16:55,69.60,5,100.00
1/1/2024 17:00,69.50,5,100.00
1/1/2024 17:05,69.30,5,100.00
1/1/2024 17:10,69.00,5,100.00
1/1/2024 17:15,68.40,5,100.00
1/1/2024 17:20,68.30,5,100.00
1/1/2024 17:25,67.70,5,100.00
1/1/2024 17:30,66.90,5,100.00
1/1/2024 17:35,66.10,5,100.00
1/1/2024 17:40,66.60,5,100.00
1/1/2024 17:45,66.70,5,100.00
1/1/2024 17:50,67.30,5,100.00
1/1/2024 17:55,67.00,5,100.00
1/1/2024 18:00,67.60,5,100.00
1/1/2024 18:05,68.00,5,100.00
1/1/2024 18:10,68.10,5,100.00
1/1/2024 18:15,68.40,5,100.00
1/1/2024 18:20,67.90,5,100.00
1/1/2024 18:25,68.40,5,100.00
1/1/2024 18:30,68.70,5,100.00
1/1/2024 18:35,69.40,5,100.00
1/1/2024 18:40,69.20,5,100.00
1/1/2024 18:45,69.00,5,100.00
1/1/2024 18:50,69.40,5,100.00
1/1/2024 18:55,69.20,5,100.00
1/1/2024 19:00,69.30,5,100.00
1/1/2024 19:05,69.60,5,100.00
1/1/2024 19:10,69.40,5,100.00
1/1/2024 19:15,68.70,5,100.00
1/1/2024 19:20,68.90,5,100.00
1/1/2024 19:25,68.70,5,100.00
1/1/2024 19:30,69.30,5,100.00
1/1/2024 19:35,69.20,5,100.00
1/1/2024 19:40,69.40,5,100.00
1/1/2024 19:45,69.00,5,100.00
1/1/2024 19:50,69.50,5,100.00
1/1/2024 19:55,69.90,5,100.00
1/1/2024 20:00,69.90,5,100.00
1/1/2024 20:05,70.20,5,100.00
1/1/2024 20:10,70.90,5,100.00
1/1/2024 20:15,71.10,5,100.00
1/1/2024 20:20,70.40,5,100.00
1/1/2024 20:25,71.00,5,100.00
1/1/2024 20:30,70.70,5,100.00
1/1/2024 20:35,70.60,5,100.00
1/1/2024 20:40,71.60,5,100.00
1/1/2024 20:45,71.20,5,100.00
1/1/2024 20:50,71.70,5,100.00
1/1/2024 20:55,71.70,5,100.00
1/1/2024 21:00,71.90,5,100.00
1/1/2024 21:05,72.20,5,100.00
1/1/2024 21:10,72.20,5,100.00
1/1/2024 21:15,72.50,5,100.00
1/1/2024 21:20,72.60,5,100.00
1/1/2024 21:25,72.60,5,100.00
1/1/2024 21:30,73.00,5,100.00
1/1/2024 21:35,72.90,5,100.00
1/1/2024 21:40,73.30,5,100.00
1/1/2024 21:45,73.20,5,100.00
1/1/2024 21:50,73.30,5,100.00
1/1/2024 21:55,73.50,5,100.00
1/1/2024 22:00,72.90,5,100.00
1/1/2024 22:05,72.90,5,100.00
1/1/2024 22:10,73.20,5,100.00
1/1/2024 22:15,73.10,5,100.00
1/1/2024 22:20,73.30,5,100.00
1/1/2024 22:25,73.50,5,100.00
1/1/2024 22:30,73.30,5,100.00
1/1/2024 22:35,72.90,5,100.00
1/1/2024 22:40,72.90,5,100.00
1/1/2024 22:45,73.10,5,100.00
1/1/2024 22:50,72.70,5,100.00
1/1/2024 22:55,73.00,5,100.00
1/1/2024 23:00,73.20,5,100.00
1/1/2024 23:05,72.70,5,100.00
1/1/2024 23:10,73.00,5,100.00
1/1/2024 23:15,73.00,5,100.00
1/1/2024 23:20,73.10,5,100.00
1/1/2024 23:25,72.90,5,100.00
1/1/2024 23:30,72.50,5,100.00
1/1/2024 23:35,73.10,5,100.00
1/1/2024 23:40,72.70,5,100.00
1/1/2024 23:45,72.80,5,100.00
1/1/2024 23:50,72.60,5,100.00
1/1/2024 23:55,72.70,5,100.00
1/2/2024 0:00,72.40,5,100.00
1/2/2024 0:05,72.80,5,100.00
1/2/2024 0:10,72.80,5,100.00
1/2/2024 0:15,71.90,5,100.00
1/2/2024 0:20,72.50,5,100.00
1/2/2024 0:25,73.00,5,100.00
1/2/2024 0:30,72.70,5,100.00
1/2/2024 0:35,72.80,5,100.00
1/2/2024 0:40,72.70,5,100.00
1/2/2024 0:45,73.30,5,100.00
1/2/2024 0:50,72.90,5,100.00
1/2/2024 0:55,73.10,5,100.00
1/2/2024 1:00,73.10,5,100.00
1/2/2024 1:05,72.50,5,100.00
1/2/2024 1:10,72.90,5,100.00
1/2/2024 1:15,73.10,5,100.00
1/2/2024 1:20,72.90,5,100.00
1/2/2024 1:25,72.90,5,100.00
1/2/2024 1:30,73.30,5,100.00
1/2/2024 1:35,72.50,5,100.00
1/2/2024 1:40,73.00,5,100.00
1/2/2024 1:45,72.70,5,100.00
1/2/2024 1:50,73.20,5,100.00
1/2/2024 1:55,71.90,5,100.00
1/2/2024 2:00,72.70,5,100.00
1/2/2024 2:05,72.80,5,100.00
1/2/2024 2:10,72.70,5,100.00
1/2/2024 2:15,72.50,5,100.00
1/2/2024 2:20,72.80,5,100.00
1/2/2024 2:25,71.80,5,100.00
1/2/2024 2:30,73.00,5,100.00
1/2/2024 2:35,72.70,5,100.00
1/2/2024 2:40,72.60,5,100.00
1/2/2024 2:45,72.50,5,100.00
1/2/2024 2:50,72.60,5,100.00
1/2/2024 2:55,72.90,5,100.00
1/2/2024 3:00,73.60,5,100.00
1/2/2024 3:05,72.80,5,100.00
1/2/2024 3:10,72.30,5,100.00
1/2/2024 3:15,72.30,5,100.00
1/2/2024 3:20,72.20,5,100.00
1/2/2024 3:25,72.80,5,100.00
1/2/2024 3:30,73.10,5,100.00
1/2/2024 3:35,73.00,5,100.00
1/2/2024 3:40,73.10,5,100.00
1/2/2024 3:45,72.10,5,100.00
1/2/2024 3:50,72.70,5,100.00
1/2/2024 3:55,72.50,5,100.00
1/2/2024 4:00,73.80,5,100.00
1/2/2024 4:05,73.00,5,100.00
1/2/2024 4:10,73.20,5,100.00
1/2/2024 4:15,73.50,5,100.00
1/2/2024 4:20,72.70,5,100.00
1/2/2024 4:25,73.20,5,100.00
1/2/2024 4:30,73.30,5,100.00
1/2/2024 4:35,72.60,5,100.00
1/2/2024 4:40,73.30,5,100.00
1/2/2024 4:45,73.20,5,100.00
1/2/2024 4:50,73.50,5,100.00
1/2/2024 4:55,72.90,5,100.00
1/2/2024 5:00,73.30,5,100.00
1/2/2024 5:05,73.70,5,100.00
1/2/2024 5:10,72.80,5,100.00
1/2/2024 5:15,73.00,5,100.00
1/2/2024 5:20,72.80,5,100.00
1/2/2024 5:25,72.70,5,100.00
1/2/2024 5:30,73.10,5,100.00
1/2/2024 5:35,72.90,5,100.00
1/2/2024 5:40,72.70,5,100.00
1/2/2024 5:45,71.90,5,100.00
1/2/2024 5:50,72.40,5,100.00
1/2/2024 5:55,72.10,5,100.00
1/2/2024 6:00,72.70,5,100.00
1/2/2024 6:05,72.40,5,100.00
1/2/2024 6:10,71.70,5,100.00
1/2/2024 6:15,72.40,5,100.00
1/2/2024 6:20,72.30,5,100.00
1/2/2024 6:25,71.50,5,100.00
1/2/2024 6:30,71.80,5,100.00
1/2/2024 6:35,71.60,5,100.00
1/2/2024 6:40,71.70,5,100.00
1/2/2024 6:45,72.00,5,100.00
1/2/2024 6:50,71.80,5,100.00
1/2/2024 6:55,72.10,5,100.00
1/2/2024 7:00,71.60,5,100.00
1/2/2024 7:05,71.30,5,100.00
1/2/2024 7:10,70.40,5,100.00
1/2/2024 7:15,71.50,5,100.00
1/2/2024 7:20,70.60,5,100.00
1/2/2024 7:25,69.70,5,100.00
1/2/2024 7:30,69.30,5,100.00
1/2/2024 7:35,68.50,5,100.00
1/2/2024 7:40,68.30,5,100.00
1/2/2024 7:45,68.40,5,100.00
1/2/2024 7:50,68.90,5,100.00
1/2/2024 7:55,68.70,5,100.00
1/2/2024 8:00,69.90,5,100.00
1/2/2024 8:05,69.30,5,100.00
1/2/2024 8:10,69.30,5,100.00
1/2/2024 8:15,69.60,5,100.00
1/2/2024 8:20,69.60,5,100.00
1/2/2024 8:25,69.30,5,100.00
1/2/2024 8:30,69.50,5,100.00
1/2/2024 8:35,69.00,5,100.00
1/2/2024 8:40,68.80,5,100.00
1/2/2024 8:45,68.40,5,100.00
1/2/2024 8:50,68.90,5,100.00
1/2/2024 8:55,68.40,5,100.00
1/2/2024 9:00,67.80,5,100.00
1/2/2024 9:05,68.50,5,100.00
1/2/2024 9:10,68.80,5,100.00
1/2/2024 9:15,68.60,5,100.00
1/2/2024 9:20,68.80,5,100.00
1/2/2024 9:25,68.60,5,100.00
1/2/2024 9:30,68.80,5,100.00
1/2/2024 9:35,68.80,5,100.00
1/2/2024 9:40,68.30,5,100.00
1/2/2024 9:45,68.10,5,100.00
1/2/2024 9:50,68.10,5,100.00
1/2/2024 9:55,69.20,5,100.00
1/2/2024 10:00,68.50,5,100.00
1/2/2024 10:05,67.90,5,100.00
1/2/2024 10:10,68.00,5,100.00
1/2/2024 10:15,67.20,5,100.00
1/2/2024 10:20,67.70,5,100.00
1/2/2024 10:25,67.90,5,100.00
1/2/2024 10:30,66.60,5,100.00
1/2/2024 10:35,65.50,5,100.00
1/2/2024 10:40,64.50,5,100.00
1/2/2024 10:45,64.90,5,100.00
1/2/2024 10:50,64.50,5,100.00
1/2/2024 10:55,65.80,5,100.00
1/2/2024 11:00,66.20,5,100.00
1/2/2024 11:05,66.20,5,100.00
1/2/2024 11:10,66.80,5,100.00
1/2/2024 11:15,65.20,5,100.00
1/2/2024 11:20,65.60,5,100.00
1/2/2024 11:25,64.70,5,100.00
1/2/2024 11:30,63.70,5,100.00
1/2/2024 11:35,63.60,5,100.00
1/2/2024 11:40,64.70,5,100.00
1/2/2024 11:45,66.00,5,100.00
1/2/2024 11:50,65.80,5,100.00
1/2/2024 11:55,66.30,5,100.00
1/2/2024 12:00,66.10,5,100.00
1/2/2024 12:05,64.20,5,100.00
1/2/2024 12:10,63.50,5,100.00
1/2/2024 12:15,63.20,5,100.00
1/2/2024 12:20,63.90,5,100.00
1/2/2024 12:25,63.30,5,100.00
1/2/2024 12:30,63.60,5,100.00
1/2/2024 12:35,63.50,5,100.00
1/2/2024 12:40,63.80,5,100.00
1/2/2024 12:45,64.10,5,100.00
1/2/2024 12:50,64.90,5,100.00
1/2/2024 12:55,65.80,5,100.00
1/2/2024 13:00,65.90,5,100.00
1/2/2024 13:05,67.10,5,100.00
1/2/2024 13:10,66.60,5,100.00
1/2/2024 13:15,66.50,5,100.00
1/2/2024 13:20,66.00,5,100.00
1/2/2024 13:25,67.10,5,100.00
1/2/2024 13:30,66.90,5,100.00
1/2/2024 13:35,66.50,5,100.00
1/2/2024 13:40,67.20,5,100.00
1/2/2024 13:45,66.90,5,100.00
1/2/2024 13:50,66.70,5,100.00
1/2/2024 13:55,66.80,5,100.00
1/2/2024 14:00,67.00,5,100.00
1/2/2024 14:05,67.40,5,100.00
1/2/2024 14:10,67.00,5,100.00
1/2/2024 14:15,66.10,5,100.00
1/2/2024 14:20,66.50,5,100.00
1/2/2024 14:25,66.20,5,100.00
1/2/2024 14:30,66.40,5,100.00
1/2/2024 14:35,66.60,5,100.00
1/2/2024 14:40,66.80,5,100.00
1/2/2024 14:45,66.70,5,100.00
1/2/2024 14:50,65.30,5,100.00
1/2/2024 14:55,66.40,5,100.00
1/2/2024 15:00,67.20,5,100.00
1/2/2024 15:05,66.00,5,100.00
1/2/2024 15:10,66.10,5,100.00
1/2/2024 15:15,65.80,5,100.00
1/2/2024 15:20,66.00,5,100.00
1/2/2024 15:25,66.30,5,100.00
1/2/2024 15:30,65.60,5,100.00
1/2/2024 15:35,64.10,5,100.00
1/2/2024 15:40,65.10,5,100.00
1/2/2024 15:45,65.80,5,100.00
1/2/2024 15:50,64.90,5,100.00
1/2/2024 15:55,65.60,5,100.00
1/2/2024 16:00,65.90,5,100.00
1/2/2024 16:05,64.70,5,100.00
1/2/2024 16:10,66.70,5,100.00
1/2/2024 16:15,67.20,5,100.00
1/2/2024 16:20,67.00,5,100.00
1/2/2024 16:25,67.10,5,100.00
1/2/2024 16:30,67.60,5,100.00
1/2/2024 16:35,66.50,5,100.00
1/2/2024 16:40,67.40,5,100.00
1/2/2024 16:45,67.40,5,100.00
1/2/2024 16:50,66.60,5,100.00
1/2/2024 16:55,67.20,5,100.00
1/2/2024 17:00,66.20,5,100.00
1/2/2024 17:05,67.40,5,100.00
1/2/2024 17:10,67.00,5,100.00
1/2/2024 17:15,66.10,5,100.00
1/2/2024 17:20,64.70,5,100.00
1/2/2024 17:25,63.80,5,100.00
1/2/2024 17:30,63.30,5,100.00
1/2/2024 17:35,62.60,5,100.00
1/2/2024 17:40,64.10,5,100.00
1/2/2024 17:45,64.40,5,100.00
1/2/2024 17:50,64.90,5,100.00
1/2/2024 17:55,65.20,5,100.00
1/2/2024 18:00,66.60,5,100.00
1/2/2024 18:05,66.50,5,100.00
1/2/2024 18:10,67.10,5,100.00
1/2/2024 18:15,66.90,5,100.00
1/2/2024 18:20,66.20,5,100.00
1/2/2024 18:25,67.80,5,100.00
1/2/2024 18:30,67.20,5,100.00
1/2/2024 18:35,68.60,5,100.00
1/2/2024 18:40,68.80,5,100.00
1/2/2024 18:45,68.30,5,100.00
1/2/2024 18:50,69.00,5,100.00
1/2/2024 18:55,69.20,5,100.00
1/2/2024 19:00,69.90,5,100.00
1/2/2024 19:05,70.60,5,100.00
1/2/2024 19:10,70.00,5,100.00
1/2/2024 19:15,70.30,5,100.00
1/2/2024 19:20,70.00,5,100.00
1/2/2024 19:25,70.20,5,100.00
1/2/2024 19:30,70.50,5,100.00
1/2/2024 19:35,70.80,5,100.00
1/2/2024 19:40,70.90,5,100.00
1/2/2024 19:45,70.80,5,100.00
1/2/2024 19:50,70.40,5,100.00
1/2/2024 19:55,70.90,5,100.00
1/2/2024 20:00,70.40,5,100.00
1/2/2024 20:05,71.30,5,100.00
1/2/2024 20:10,71.10,5,100.00
1/2/2024 20:15,71.60,5,100.00
1/2/2024 20:20,72.00,5,100.00
1/2/2024 20:25,71.50,5,100.00
1/2/2024 20:30,71.20,5,100.00
1/2/2024 20:35,71.30,5,100.00
1/2/2024 20:40,72.00,5,100.00
1/2/2024 20:45,71.30,5,100.00
1/2/2024 20:50,71.20,5,100.00
1/2/2024 20:55,72.20,5,100.00
1/2/2024 21:00,72.80,5,100.00
1/2/2024 21:05,72.70,5,100.00
1/2/2024 21:10,73.10,5,100.00
1/2/2024 21:15,72.40,5,100.00
1/2/2024 21:20,72.70,5,100.00
1/2/2024 21:25,73.30,5,100.00
1/2/2024 21:30,72.20,5,100.00
1/2/2024 21:35,73.40,5,100.00
1/2/2024 21:40,72.70,5,100.00
1/2/2024 21:45,73.50,5,100.00
1/2/2024 21:50,73.70,5,100.00
1/2/2024 21:55,73.90,5,100.00
1/2/2024 22:00,72.80,5,100.00
1/2/2024 22:05,72.90,5,100.00
1/2/2024 22:10,72.70,5,100.00
1/2/2024 22:15,72.70,5,100.00
1/2/2024 22:20,73.10,5,100.00
1/2/2024 22:25,72.60,5,100.00
1/2/2024 22:30,73.20,5,100.00
1/2/2024 22:35,72.50,5,100.00
1/2/2024 22:40,72.70,5,100.00
1/2/2024 22:45,72.60,5,100.00
1/2/2024 22:50,73.40,5,100.00
1/2/2024 22:55,72.80,5,100.00
1/2/2024 23:00,73.20,5,100.00
1/2/2024 23:05,72.20,5,100.00
1/2/2024 23:10,72.40,5,100.00
1/2/2024 23:15,72.90,5,100.00
1/2/2024 23:20,72.40,5,100.00
1/2/2024 23:25,72.30,5,100.00
1/2/2024 23:30,72.60,5,100.00
1/2/2024 23:35,72.50,5,100.00
1/2/2024 23:40,73.20,5,100.00
1/2/2024 23:45,72.70,5,100.00
1/2/2024 23:50,73.20,5,100.00
1/2/2024 23:55,72.20,5,100.00
1/3/2024 0:00,72.70,5,100.00
1/3/2024 0:05,72.00,5,100.00
1/3/2024 0:10,73.40,5,100.00
1/3/2024 0:15,73.10,5,100.00
1/3/2024 0:20,73.20,5,100.00
1/3/2024 0:25,72.20,5,100.00
1/3/2024 0:30,72.80,5,100.00
1/3/2024 0:35,72.60,5,100.00
1/3/2024 0:40,73.20,5,100.00
1/3/2024 0:45,72.70,5,100.00
1/3/2024 0:50,73.10,5,100.00
1/3/2024 0:55,73.20,5,100.00
1/3/2024 1:00,72.80,5,100.00
1/3/2024 1:05,72.90,5,100.00
1/3/2024 1:10,72.30,5,100.00
1/3/2024 1:15,73.20,5,100.00
1/3/2024 1:20,72.40,5,100.00
1/3/2024 1:25,73.10,5,100.00
1/3/2024 1:30,72.80,5,100.00
1/3/2024 1:35,72.60,5,100.00
1/3/2024 1:40,73.00,5,100.00
1/3/2024 1:45,72.50,5,100.00
1/3/2024 1:50,72.60,5,100.00
1/3/2024 1:55,72.90,5,100.00
1/3/2024 2:00,72.40,5,100.00
1/3/2024 2:05,71.80,5,100.00
1/3/2024 2:10,71.20,5,100.00
1/3/2024 2:15,72.90,5,100.00
1/3/2024 2:20,72.70,5,100.00
1/3/2024 2:25,71.70,5,100.00
1/3/2024 2:30,72.60,5,100.00
1/3/2024 2:35,72.70,5,100.00
1/3/2024 2:40,72.80,5,100.00
1/3/2024 2:45,72.40,5,100.00
1/3/2024 2:50,72.60,5,100.00
1/3/2024 2:55,72.90,5,100.00
1/3/2024 3:00,72.10,5,100.00
1/3/2024 3:05,72.90,5,100.00
1/3/2024 3:10,73.10,5,100.00
1/3/2024 3:15,73.30,5,100.00
1/3/2024 3:20,72.70,5,100.00
1/3/2024 3:25,72.90,5,100.00
1/3/2024 3:30,73.50,5,100.00
1/3/2024 3:35,72.80,5,100.00
1/3/2024 3:40,72.60,5,100.00
1/3/2024 3:45,71.90,5,100.00
1/3/2024 3:50,71.90,5,100.00
1/3/2024 3:55,72.60,5,100.00
1/3/2024 4:00,72.60,5,100.00
1/3/2024 4:05,72.50,5,100.00
1/3/2024 4:10,72.10,5,100.00
1/3/2024 4:15,72.90,5,100.00
1/3/2024 4:20,72.80,5,100.00
1/3/2024 4:25,72.70,5,100.00
1/3/2024 4:30,73.20,5,100.00
1/3/2024 4:35,72.60,5,100.00
1/3/2024 4:40,72.70,5,100.00
1/3/2024 4:45,73.00,5,100.00
1/3/2024 4:50,73.40,5,100.00
1/3/2024 4:55,73.70,5,100.00
1/3/2024 5:00,73.50,5,100.00
1/3/2024 5:05,73.60,5,100.00
1/3/2024 5:10,73.40,5,100.00
1/3/2024 5:15,73.40,5,100.00
1/3/2024 5:20,73.10,5,100.00
1/3/2024 5:25,73.30,5,100.00
1/3/2024 5:30,73.30,5,100.00
1/3/2024 5:35,72.40,5,100.00
1/3/2024 5:40,73.00,5,100.00
1/3/2024 5:45,72.40,5,100.00
1/3/2024 5:50,72.80,5,100.00
1/3/2024 5:55,72.90,5,100.00
1/3/2024 6:00,72.70,5,100.00
1/3/2024 6:05,72.70,5,100.00
1/3/2024 6:10,72.70,5,100.00
1/3/2024 6:15,72.40,5,100.00
1/3/2024 6:20,72.50,5,100.00
1/3/2024 6:25,72.10,5,100.00
1/3/2024 6:30,72.00,5,100.00
1/3/2024 6:35,72.00,5,100.00
1/3/2024 6:40,71.50,5,100.00
1/3/2024 6:45,72.10,5,100.00
1/3/2024 6:50,71.30,5,100.00
1/3/2024 6:55,72.10,5,100.00
1/3/2024 7:00,71.70,5,100.00
1/3/2024 7:05,72.10,5,100.00
1/3/2024 7:10,72.50,5,100.00
1/3/2024 7:15,72.20,5,100.00
